africa (n) . /ˈæfrɪkə/ | Châu Phi
arabic (n/adj) . /ˈærəbɪk/ | tiếng Ả Rập, thuộc về Ả Rập
asia (n) . /ˈeɪʒə/ | Châu Á
british (adj) . /ˈbrɪtɪʃ/ | thuộc về nước Anh
chinese (n/adj) . /ˌtʃaɪˈniːz/ | tiếng Trung, thuộc về Trung Quốc
christmas (n) . /ˈkrɪsməs/ | Giáng sinh
Egypt (n) . /ˈiːdʒɪpt/ | nước Ai Cập
english (n/adj) . /ˈɪŋɡlɪʃ/ | tiếng Anh, thuộc về nước Anh
february (n) . /ˈfebruəri/ | tháng Hai
france (n) . /fræns/ | nước Pháp
german (n/adj) . /ˈdʒɜːrmən/ | tiếng Đức, thuộc về nước Đức
hindi (n/adj) . /ˈhɪndi/ | tiếng Hindi, thuộc về Ấn Độ
i think so (phrase) . /aɪ θɪŋk soʊ/ | tôi nghĩ vậy
january (n) . /ˈdʒænjuəri/ | tháng Giêng
july (n) . /dʒuˈlaɪ/ | tháng Bảy
june (n) . /dʒuːn/ | tháng Sáu
march (n) . /mɑːrtʃ/ | tháng Ba
mom (n) . /mɑːm/ | mẹ
New Year's Eve (n) . /ˌnjuː jɪəz ˈiːv/ | đêm giao thừa
north america (n) . /ˌnɔːrθ əˈmerɪkə/ | Bắc Mỹ
november (n) . /noʊˈvembər/ | tháng Mười Một
October (n) . /ɑːkˈtoʊbər/ | tháng Mười
South America (n) . /ˌsaʊθ əˈmerɪkə/ | Nam Mỹ
Spanish (n/adj) . /ˈspænɪʃ/ | tiếng Tây Ban Nha, thuộc về Tây Ban Nha
a little (determiner/adv) . /ə ˈlɪtl/ | một chút
a lot of (determiner) . /ə lɒt ɒv/ | nhiều
a ride (n) . /ə raɪd/ | đi nhờ xe
a variety of (phrase) . /ə vəˈraɪəti ɒv/ | nhiều loại
about (prep/adv) . /əˈbaʊt/ | khoảng, về
above (prep/adv) . /əˈbʌv/ | ở trên
accident (n) . /ˈæksɪdənt/ | tai nạn
across (prep/adv) . /əˈkrɔːs/ | băng qua, khắp
activity (n) . /ækˈtɪvəti/ | hoạt động
actor (n) . /ˈæktər/ | diễn viên
actually (adv) . /ˈæktʃuəli/ | thực ra, thực sự
ad (n) . /æd/ | quảng cáo
add (v) . /æd/ | thêm vào
address (n/v) . /ˈædres/ | địa chỉ
advice (n) . /ədˈvaɪs/ | lời khuyên
afraid (adj) . /əˈfreɪd/ | sợ hãi
after (prep/conj) . /ˈæftər/ | sau khi
after school (phrase) . /ˈæftər skuːl/ | sau giờ học
after work (phrase) . /ˈæftər wɜːrk/ | sau giờ làm việc
afternoon (n) . /ˌæftərˈnuːn/ | buổi chiều
again (adv) . /əˈɡen/ | lại, một lần nữa
ago (adv) . /əˈɡoʊ/ | trước đây
agree (v) . /əˈɡriː/ | đồng ý
agree with (v) . /əˈɡriː wɪð/ | đồng ý với ai đó
airline (n) . /ˈerlaɪn/ | hãng hàng không
airport (n) . /ˈerpɔːrt/ | sân bay
aisle (n) . /aɪl/ | lối đi (trong siêu thị)
album (n) . /ˈælbəm/ | album nhạc/ảnh
all (determiner/pronoun) . /ɔːl/ | tất cả
all day (phrase) . /ɔːl deɪ/ | cả ngày
all of (phrase) . /ɔːl ɒv/ | tất cả trong số
all the time (phrase) . /ɔːl ðə taɪm/ | suốt, mọi lúc
all weekend (phrase) . /ɔːl ˌwiːkˈend/ | cả cuối tuần
allowed (adj/v) . /əˈlaʊd/ | được cho phép
almost (adv) . /ˈɔːlmoʊst/ | gần như, hầu như
alone (adj/adv) . /əˈloʊn/ | một mình, đơn độc
already (adv) . /ɔːlˈredi/ | đã... rồi
also (adv) . /ˈɔːlsoʊ/ | cũng, cũng vậy
always (adv) . /ˈɔːlweɪz/ | luôn luôn
ambulance (n) . /ˈæmbjələns/ | xe cấp cứu
animal (n) . /ˈænɪml/ | động vật
annoying (adj) . /əˈnɔɪɪŋ/ | phiền phức, làm phiền
another (determiner/pronoun) . /əˈnʌðər/ | một cái khác
answer (v/n) . /ˈænsər/ | trả lời, câu trả lời
anxiety (n) . /æŋˈzaɪəti/ | sự lo lắng
any (pronoun) . /ˈeni/ | bất kỳ, chút nào
any of (phrase) . /ˈeni ɒv/ | bất kỳ ai/cái nào trong số
anymore (adv) . /ˌeniˈmɔːr/ | nữa (dùng trong câu phủ định)
anyone (pronoun) . /ˈeniwʌn/ | bất kỳ ai
anything (pronoun) . /ˈenɪθɪŋ/ | bất cứ thứ gì
apartment (n) . /əˈpɑːrtmənt/ | căn hộ
apple (n) . /ˈæpl/ | quả táo
are there (phrase) . /ɑːr ðer/ | có... không (số nhiều)
area (n) . /ˈeriə/ | vùng, khu vực
aren't (v) . /ɑːrnt/ | không phải là (số nhiều)
arm (n) . /ɑːrm/ | cánh tay
around (prep/adv) . /əˈraʊnd/ | xung quanh, khoảng
arrive (v) . /əˈraɪv/ | đến nơi
art (n) . /ɑːrt/ | mỹ thuật, nghệ thuật
as a child (phrase) . /æz ə tʃaɪld/ | khi còn nhỏ
as well (adv) . /æz wel/ | cũng, cũng như
ask (v) . /æsk/ | hỏi, yêu cầu
ask for (v) . /æsk fɔːr/ | hỏi xin
at (prep) . /æt/ | tại, ở
at all (phrase) . /æt ɔːl/ | không chút nào, không hề
at night (phrase) . /æt naɪt/ | vào ban đêm
at school (phrase) . /æt skuːl/ | ở trường
at work (phrase) . /æt wɜːrk/ | đang ở chỗ làm
ate (v) . /et/ | đã ăn
athlete (n) . /ˈæθliːt/ | vận động viên
attend (v) . /əˈtend/ | tham dự
aunt (n) . /ænt/ | cô, dì, bác gái
author (n) . /ˈɔːθər/ | tác giả
available (adj) . /əˈveɪləbl/ | có sẵn, rảnh
avoid (v) . /əˈvɔɪd/ | tránh, né tránh
awful (adj) . /ˈɔːfl/ | tồi tệ
baby (n) . /ˈbeɪbi/ | em bé
back pain (n) . /ˈbæk peɪn/ | đau lưng
backpack (n) . /ˈbækpæk/ | ba lô
bad (adj) . /bæd/ | tồi tệ, xấu
bag (n) . /bæɡ/ | túi xách, cặp
bake (v) . /beɪk/ | nướng (bánh)
ball (n) . /bɔːl/ | quả bóng
balloon (n) . /bəˈluːn/ | quả bóng bay
banana (n) . /bəˈnænə/ | quả chuối
band (n) . /bænd/ | ban nhạc
bandage (n/v) . /ˈbændɪdʒ/ | băng gạc
bank (n) . /bæŋk/ | ngân hàng
bar (n) . /bɑːr/ | quán bar, quán rượu
barbecue (n) . /ˈbɑːrbɪkjuː/ | tiệc nướng
baseball (n) . /ˈbeɪsbɔːl/ | bóng chày
basil (n) . /ˈbæzl/ | húng quế
basketball (n) . /ˈbæskɪtbɔːl/ | bóng rổ
bathroom (n) . /ˈbæθruːm/ | phòng tắm
battery (n) . /ˈbætəri/ | pin
beach (n) . /biːtʃ/ | bãi biển
bean (n) . /biːn/ | hạt đậu
bear (n) . /ber/ | con gấu
beard (n) . /bɪrd/ | bộ râu
beautiful (adj) . /ˈbjuːtɪfl/ | đẹp
because (conj) . /bɪˈkəz/ | bởi vì
bed (n) . /bed/ | cái giường
bedroom (n) . /ˈbedruːm/ | phòng ngủ
beef (n) . /biːf/ | thịt bò
beer (n) . /bɪr/ | bia
before (prep/conj/adv) . /bɪˈfɔːr/ | trước khi
behind (prep/adv) . /bɪˈhaɪnd/ | đằng sau
believe (v) . /bɪˈliːv/ | tin tưởng
belong to (v) . /bɪˈlɔːŋ tu/ | thuộc về
best (adj/adv) . /best/ | tốt nhất
best friend (n) . /best frend/ | bạn thân nhất
better (adj/adv) . /ˈbetər/ | tốt hơn, khỏe hơn
bicycle (n) . /ˈbaɪsɪkl/ | xe đạp
big (adj) . /bɪɡ/ | to, lớn
bill (n/v) . /bɪl/ | hóa đơn
biology (n) . /baɪˈɑːlədʒi/ | sinh học
birthday (n) . /ˈbɜːrθdeɪ/ | sinh nhật
black (n/adj) . /blæk/ | màu đen
blanket (n) . /ˈblæŋkɪt/ | cái chăn
blender (n) . /ˈblendər/ | máy xay sinh tố
blond (adj) . /blɑːnd/ | tóc vàng hoe
blouse (n) . /blaʊz/ | áo sơ mi nữ
board (n) . /bɔːrd/ | cái bảng
board game (n) . /ˈbɔːrd ɡeɪm/ | trò chơi bàn cờ
boat (n) . /boʊt/ | con thuyền
body (n) . /ˈbɑːdi/ | cơ thể
book (n/v) . /bʊk/ | quyển sách
boot (n) . /buːt/ | đôi bốt, giày cao cổ
boring (adj) . /ˈbɔːrɪŋ/ | tẻ nhạt, chán
borrow (v) . /ˈbɑːroʊ/ | mượn
boss (n) . /bɔːs/ | ông chủ
both (determiner/pronoun) . /boʊθ/ | cả hai
bottle (n) . /ˈbɑːtl/ | cái chai
bought (v) . /bɔːt/ | đã mua
bowl (n) . /boʊl/ | cái bát (tô)
bowl of soup (n) . /boʊl ɒv suːp/ | bát súp, tô canh
box (n) . /bɑːks/ | cái hộp
boyfriend (n) . /ˈbɔɪfrend/ | bạn trai
bracelet (n) . /ˈbreɪslət/ | vòng tay
brain (n) . /breɪn/ | bộ não, trí thông minh
brand (n) . /brænd/ | nhãn hiệu
bread (n) . /bred/ | bánh mì
break (v/n) . /breɪk/ | làm vỡ, phá vỡ
break up (v) . /breɪk ʌp/ | chia tay
breakfast (n) . /ˈbrekfəst/ | bữa sáng
bridge (n) . /brɪdʒ/ | cây cầu
bring (v) . /brɪŋ/ | mang theo, đem lại
broke (v) . /broʊk/ | đã làm hỏng
broken (adj) . /ˈbroʊkən/ | bị hỏng, bị vỡ
brother (n) . /ˈbrʌðər/ | anh trai, em trai
brought (v) . /brɔːt/ | đã mang đến
brown (n/adj) . /braʊn/ | màu nâu
bruise (n/v) . /bruːz/ | vết bầm tím
brunch (n) . /brʌntʃ/ | bữa sáng muộn (kết hợp trưa)
brush (n/v) . /brʌʃ/ | bàn chải, chải
budget (n) . /ˈbʌdʒɪt/ | ngân sách
building (n) . /ˈbɪldɪŋ/ | tòa nhà
burger (n) . /ˈbɜːrɡər/ | bánh mì kẹp thịt
bus (n) . /bʌs/ | xe buýt
bus station (n) . /bʌs ˈsteɪʃn/ | trạm xe buýt
business (n) . /ˈbɪznəs/ | kinh doanh
busy (adj) . /ˈbɪzi/ | bận rộn, đông đúc
but (conj/prep) . /bʌt/ | nhưng
butter (n) . /ˈbʌtər/ | bơ
buy (v) . /baɪ/ | mua
bye (interj) . /baɪ/ | tạm biệt
cabinet (n) . /ˈkæbɪnət/ | tủ có ngăn
cafeteria (n) . /ˌkæfəˈtɪriə/ | nhà ăn, căng tin
cake (n) . /keɪk/ | bánh ngọt
calendar (n) . /ˈkælɪndər/ | tờ lịch, lịch
call (v/n) . /kɔːl/ | gọi điện, cuộc gọi
came (v) . /keɪm/ | đã đến
camera (n) . /ˈkæmrə/ | máy ảnh
camp (v/n) . /kæmp/ | cắm trại
can (modal v/n) . /kæn/ | có thể, cái lon
can't (modal v) . /kænt/ | không thể
can't wait (phrase) . /kænt weɪt/ | không thể chờ đợi thêm
candy (n) . /ˈkændi/ | kẹo
car (n) . /kɑːr/ | xe ô tô
card (n) . /kɑːrd/ | tấm thiệp, thẻ
card game (n) . /kɑːrd ɡeɪm/ | trò chơi bài
careful (adj) . /ˈkerfl/ | cẩn thận
carpet (n) . /ˈkɑːrpɪt/ | tấm thảm
carrot (n) . /ˈkærət/ | cà rốt
cart (n) . /kɑːrt/ | xe đẩy hàng
cartoon (n) . /kɑːrˈtuːn/ | phim hoạt hình
cash (n) . /kæʃ/ | tiền mặt
cast (n/v) . /kæst/ | dàn diễn viên, bó bột
catch (v) . /kætʃ/ | bắt lấy
cause (n/v) . /kɔːz/ | nguyên nhân, gây ra
celebrity (n) . /səˈlebrəti/ | người nổi tiếng
cell phone (n) . /ˈsel foʊn/ | điện thoại di động
cent (n) . /sent/ | xu
cereal (n) . /ˈsɪriəl/ | ngũ cốc
chair (n) . /tʃer/ | cái ghế
challenge (n/v) . /ˈtʃælɪndʒ/ | thử thách
change (v/n) . /tʃeɪndʒ/ | thay đổi, tiền lẻ
